Reputation,LuFid,EinheitlicheID,BundeslandID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,Ost,Nach1945,FoerderungPhase1
0,28,57,132,0,5,3.8,.0600517708924876,.5669406549915208,238.39999,.2384,0,.00020000001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,28,57,132,0,4.8,9.3999996,.2212157958224538,.7494716820919564,297,.29699999,.0016000001,.00080000004,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,29,57,132,0,3,2.8,.0120677209496145,.3933778257773656,176,.176,.00020000001,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,29,57,132,0,2.8,1.4,.0112345343760964,.5220633929623277,189,.1892,0,0,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,30,57,132,0,0,,.8935785014075637,.1122402822267535,,0,0,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,30,57,132,0,1,14.2,.579778072201265,.2550493553189686,,0,0,0,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,32,57,132,0,14.6,41.799999,.9559249916096703,4.333999982473329,284.39999,.50300002,.36920002,.039000001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,32,57,132,0,15.2,51,1.317928975593283,3.529568022179943,372.20001,.68979996,.79900002,.052200001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,33,57,132,0,.6666666666666666,1,0,,0,0,0,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,33,57,132,0,0,1.8,0,1.535633692042392,0,0,0,0,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,34,57,132,0,2,4.1999998,.0043570205506836,.4669756164183147,111.8,.1118,.00020000001,.00040000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
