Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,DM_DFG_Mittel,FoerderungPhase1
0,6,59,0,17.4,59.799999,1.212126845645366,4.439700267430552,728.79999,.7288,0,0,2.865518231705678,0
0,8,59,0,7.8,34,1.128958012547778,2.432695582553116,276.60001,.2766,.0016000001,.00080000004,2.865518231705678,0
0,10,59,0,1,0,.0070235731999192,.0484229205212414,,0,.00025000001,.00075000001,2.865518231705678,0
0,11,59,0,0,,0,.0010304259633593,,0,0,0,2.865518231705678,0
0,13,59,0,1.6,9.6000004,.3325478992520866,.5046128749049149,,0,.1234,.0054000001,2.865518231705678,0
0,15,59,0,10.4,40.599998,.8876572113867603,1.942787529959156,486.60001,.48660001,.026000001,.0024000001,2.865518231705678,0
0,18,59,0,0,,0,.0008042596347873,,0,0,0,2.865518231705678,0
0,23,59,0,1,1.3333334,0,.1551044624551469,,0,.00033333333,0,2.865518231705678,0
0,25,59,0,11,35.400002,.8756958101425549,2.776412128898777,202,.20200001,.031600002,.0040000002,2.865518231705678,0
0,26,59,0,22.8,111.6,4.805538029442449,6.957332255028356,25.200001,.0252,0,0,2.865518231705678,0
0,28,59,0,.4,0,0,.075055373636872,,0,0,0,2.865518231705678,0
0,29,59,0,1,1.8,.0357149852988464,.0049448971584271,,0,0,0,2.865518231705678,0
0,30,59,0,0,,0,0,,0,0,0,2.865518231705678,0
0,31,59,0,13,61.400002,5.083250136736159,1.906150233091776,688.40002,.68840003,.24439999,.025600001,2.865518231705678,0
0,32,59,0,10.4,17,.0939163875669001,2.007380315980178,125.6,.1256,.030999999,.0052,2.865518231705678,0
0,33,59,0,0,,0,.0044630593125324,3,.003,0,0,2.865518231705678,0
0,37,59,0,6.6,24.200001,.8527431861304725,1.787398336113787,67.400002,.067400001,.47979999,.038200002,2.865518231705678,0
0,40,59,0,5.2,14.8,.1621879510108095,.8177483806422241,1316.2,1.3161999,.0034,.00080000004,2.865518231705678,0
0,41,59,0,1,0,0,.0317109309416893,,0,0,0,2.865518231705678,0
0,42,59,0,.2,.80000001,0,.0373646439739221,26.200001,.0262,0,0,2.865518231705678,0
0,48,59,0,1,3,0,.209301861484114,,0,.00080000004,0,2.865518231705678,0
0,49,59,0,0,0,.0063417291758352,.2400039202378769,,0,0,0,2.865518231705678,0
0,50,59,0,1.2,2.5999999,.0960999408319744,.4265501185291013,364.39999,.3644,0,0,2.865518231705678,0
0,51,59,0,5.6,47.400002,2.218552950785174,1.574490707946755,,0,.0041999999,.00080000004,2.865518231705678,0
0,52,59,0,0,2.5999999,.0472225689340202,.25478538280206,,0,0,0,2.865518231705678,0
0,55,59,0,1.333333333333333,0,0,.0019575328616758,906.40002,.90640002,0,0,2.865518231705678,0
0,56,59,0,8.4,34.200001,.7228688957777695,1.572910010795771,531.40002,.53140002,.0138,.0032000002,2.865518231705678,0
0,2,74,0,0,12.6,0,,,0,.34020001,.0164,53.81510527864681,0
0,3,74,0,0,,0,0,0,0,.00020000001,.001,53.81510527864681,0
0,6,74,0,13.2,69,1.153535278913565,5.58004953804262,733.79999,.73379999,.00020000001,.00020000001,53.81510527864681,0
0,8,74,0,17.2,216.60001,11.75650563538861,9.785924627919766,1017.4,1.0174,.0634,.0046000001,53.81510527864681,0
0,11,74,0,1,3,.0009560874088027,.2714836524245083,,0,0,.00020000001,53.81510527864681,0
0,12,74,0,10.6,84.800003,2.707831420104406,3.638746587970823,373.79999,.41240001,2.5148001,.1002,53.81510527864681,0
1,13,74,0,18.6,207.39999,7.219470409819184,7.896804714498039,645.59998,.69740003,9.3834,.3276,53.81510527864681,0
1,15,74,0,18.8,201.8,11.14534431119867,7.753651186780077,1727,1.727,.46679997,.035999998,53.81510527864681,0
0,17,74,0,4.4,5,.1576659443183719,.7815496926407561,149.2,.14919999,.0184,.001,53.81510527864681,0
0,20,74,0,3,10.6,.1168328517236674,.8984256381530413,146,.24780001,.039799999,.0022,53.81510527864681,0
0,21,74,0,11.2,102.8,4.751029492455427,3.197452878940104,357,.35699999,2.7448001,.16139999,53.81510527864681,0
0,22,74,0,2.8,7.1999998,.0108089638523894,.5770632723801692,298,.47999999,.0014,0,53.81510527864681,0
0,23,74,0,2,1,0,.2083428608480561,41.799999,.0418,.0049999999,.00080000004,53.81510527864681,0
1,25,74,0,25.4,270.60001,12.55663667896154,10.6347464376897,2702.6001,2.7026,.46579999,.039000001,53.81510527864681,0
0,26,74,0,0,.5,1.310463423501421,.1292074,91.599998,.091600001,0,0,53.81510527864681,0
0,28,74,0,0,,0,0,,0,0,0,53.81510527864681,0
0,29,74,0,2,2.2,.0032183537154328,.4197802681169028,136.60001,.1366,0,.00020000001,53.81510527864681,0
1,31,74,0,42.6,626.59998,35.18775677562959,21.64706521611768,4329.2002,4.3292003,4.2080002,.38320002,53.81510527864681,0
0,32,74,0,23.2,89.800003,1.572169431972288,6.775670439930749,761.59998,.96700001,.82840002,.058400001,53.81510527864681,0
0,33,74,0,.2,26.4,4.60126943648708,.428104058207114,0,.0105,0,0,53.81510527864681,0
0,34,74,0,0,,0,.0001415192507588,5,.0049999999,0,0,53.81510527864681,0
0,36,74,0,2.2,8,.1765665518845107,.5318404311780699,184.60001,.18460001,.001,.00040000002,53.81510527864681,0
1,37,74,1,24.6,207.2,8.923797551178803,7.812112288614847,997.59998,1.0292,15.408,.65040004,53.81510527864681,1
0,40,74,0,5,23.799999,.1220110962644403,.566376604593542,43,.043000001,.015800001,.00020000001,53.81510527864681,0
0,42,74,0,3,13.4,.120828921136576,.7346421312517237,,0,.0014,.00020000001,53.81510527864681,0
0,48,74,0,2,6.4000001,.0619737661791266,.345697998214578,0,0,.0244,.0038000001,53.81510527864681,0
0,49,74,0,2.2,23.6,.4753144894439348,1.639850515373611,175.39999,.27620003,.0027999999,0,53.81510527864681,0
