Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,DM_DFG_Mittel,FoerderungPhase1
0,3,57,0,.2,2.4000001,.0095991250588039,.5088437126007513,47.599998,.047599997,.0054000001,.0024000001,35.51963860397759,0
0,4,57,0,2.8,9.8000002,.0716399677199889,.836491079058978,14,.1382,.001,.00040000002,35.51963860397759,0
1,5,57,0,6,23,.5456469338856177,1.934363823743446,262.39999,.84959996,.0266,.0074,35.51963860397759,0
0,7,57,0,5.4,13.2,.2737949008543749,1.313251134153751,241.60001,.24160001,.0266,.0074,35.51963860397759,0
0,10,57,0,0,,0,,12,.012,.017000001,.001,35.51963860397759,0
1,12,57,1,26,269.20001,18.53810164324607,8.384818975884304,785.40002,.9878,15.9352,.36520001,35.51963860397759,1
0,13,57,1,15.2,126.6,3.985910046522918,10.76657389349805,513,.5966,9.6024008,.21439999,35.51963860397759,1
0,15,57,1,19,191.2,12.13523426941038,7.150073890456106,604.20001,.60420001,.2068,.011600001,35.51963860397759,0
0,17,57,0,2,10,.0549050976261409,.7717072056996646,126.2,.1612,.1882,.0104,35.51963860397759,0
0,19,57,0,15.8,101.4,3.883481063127718,5.866601866945933,790.20001,.7902,.23719999,.022600001,35.51963860397759,0
0,20,57,0,3.8,17.200001,.4270791347634931,1.204147545289727,186.2,.25639999,.036200002,.00080000004,35.51963860397759,0
0,21,57,0,7.6,36.200001,2.01108343703264,2.829521898319688,214.39999,.215,1.2556,.040799998,35.51963860397759,0
0,22,57,0,13,55.599998,1.475858076261901,3.024635201456965,621.59998,1.1108,.0266,.0074,35.51963860397759,0
1,23,57,0,15.6,66.400002,2.721607205917625,3.077993930277672,750.40002,1.1138,.018999999,.0061999997,35.51963860397759,0
0,25,57,1,15.6,137.2,5.443267532743483,5.954682503325817,508.20001,.51139998,.38100001,.023,35.51963860397759,0
0,27,57,0,13,28,.2728650749161839,3.115629094946392,252,.3646,.0024000001,.00060000003,35.51963860397759,0
0,28,57,0,4.8,9.3999996,.2212157958224538,.7494716820919562,297,.29699999,.0016000001,.00080000004,35.51963860397759,0
0,29,57,0,2.8,1.4,.0112345343760964,.5220633929623277,189,.1892,0,0,35.51963860397759,0
0,30,57,0,1,14.2,.5797780722012649,.2550493553189686,,0,0,0,35.51963860397759,0
0,32,57,0,15.2,51,1.317928975593283,3.529568022179943,372.20001,.68979996,.79900002,.052200001,35.51963860397759,0
0,33,57,0,0,1.8,0,1.535633692042392,0,0,0,0,35.51963860397759,0
0,34,57,0,2,3.5999999,.0113076927596295,.4162052946348249,96.800003,.096799999,.00080000004,.0014,35.51963860397759,0
1,35,57,0,5.8,61.799999,1.673475361123259,2.996091208536461,487.79999,.4878,.3964,.0071999999,35.51963860397759,0
0,36,57,0,4.2,11,.3146895777586383,.7007162616512849,203.39999,.27160001,.0198,.0026,35.51963860397759,0
0,37,57,0,18.6,115.2,7.298118645637762,6.387868320622389,418.60001,.44779998,7.8555999,.29300001,35.51963860397759,0
0,38,57,0,3,14.6,.3929222679929456,.7948699184912307,325.79999,.3998,.075800002,.0049999999,35.51963860397759,0
0,39,57,0,7.6,64.400002,2.479534739429021,2.715055707965468,525.79999,.52579999,1.3938,.0528,35.51963860397759,0
0,41,57,0,2,17,.6523192946323063,.0884201762737955,17,.017000001,0,0,35.51963860397759,0
0,42,57,0,23,87.400002,.6209535636250541,6.738523665658009,1533.8,1.5338,.017000001,.0024000001,35.51963860397759,0
0,44,57,0,6.2,29.4,.5068721952070995,2.28106971546054,241.2,.6516,.0266,.0074,35.51963860397759,0
0,45,57,0,2,6.8000002,.2090602832433418,.5114934954392517,119.4,.1194,.0266,.0074,35.51963860397759,0
